id,run_type,number_added,avg_time_per_insert,total_nodes,operation_count,height, rotations
7650000,random_avl_insertion,13589110,0.000002562,7650000,338,27,0
7700000,random_avl_insertion,69113325,0.000002460,7700000,310,27,0
7750000,random_avl_insertion,70742386,0.000002513,7750000,357,27,2
7800000,random_avl_insertion,97102174,0.000002560,7800000,324,27,0
7850000,random_avl_insertion,25215049,0.000002614,7850000,324,27,0
7900000,random_avl_insertion,44353687,0.000002805,7900000,338,27,0
7950000,random_avl_insertion,40751530,0.000002433,7950000,371,27,2
8000000,random_avl_insertion,40350092,0.000002429,8000000,343,27,2
8050000,random_avl_insertion,6285343,0.000002430,8050000,357,27,2
8100000,random_avl_insertion,63402816,0.000002606,8100000,310,27,0
8150000,random_avl_insertion,5384945,0.000002652,8150000,338,27,0
8200000,random_avl_insertion,15150462,0.000002625,8200000,371,28,2
8250000,random_avl_insertion,27709422,0.000002575,8250000,350,28,1
8300000,random_avl_insertion,69626609,0.000002540,8300000,329,28,2
8350000,random_avl_insertion,278345,0.000002579,8350000,357,28,2
8400000,random_avl_insertion,54756287,0.000002502,8400000,350,28,1
8450000,random_avl_insertion,89484976,0.000002582,8450000,357,28,2
8500000,random_avl_insertion,62505609,0.000002447,8500000,357,28,2
8550000,random_avl_insertion,81652487,0.000002478,8550000,324,28,0
8600000,random_avl_insertion,19846863,0.000002500,8600000,336,28,1
8650000,random_avl_insertion,9125893,0.000002520,8650000,338,28,0
8700000,random_avl_insertion,29745137,0.000002483,8700000,343,28,2
8750000,random_avl_insertion,43868440,0.000002448,8750000,357,28,2
8800000,random_avl_insertion,38707564,0.000002547,8800000,310,28,0
8850000,random_avl_insertion,14130730,0.000002641,8850000,324,28,0
8900000,random_avl_insertion,81380185,0.000002738,8900000,310,28,0
8950000,random_avl_insertion,56254569,0.000002768,8950000,350,28,1
9000000,random_avl_insertion,22678120,0.000002686,9000000,336,28,1
9050000,random_avl_insertion,44431238,0.000002677,9050000,338,28,0
9100000,random_avl_insertion,12516983,0.000002612,9100000,338,28,0
9150000,random_avl_insertion,5456318,0.000002579,9150000,364,28,1
9200000,random_avl_insertion,11097132,0.000002594,9200000,364,28,1
9250000,random_avl_insertion,61042232,0.000002623,9250000,364,28,1
9300000,random_avl_insertion,39227116,0.000002664,9300000,350,28,1
9350000,random_avl_insertion,54680176,0.000002553,9350000,336,28,1
9400000,random_avl_insertion,60784959,0.000002569,9400000,336,28,1
9450000,random_avl_insertion,18353675,0.000002722,9450000,310,28,0
9500000,random_avl_insertion,45453799,0.000002531,9500000,338,28,0
9550000,random_avl_insertion,29823916,0.000002624,9550000,350,28,1
9600000,random_avl_insertion,81719156,0.000002686,9600000,310,28,0
9650000,random_avl_insertion,37886950,0.000002606,9650000,357,28,2
9700000,random_avl_insertion,47318632,0.000002626,9700000,338,28,0
9750000,random_avl_insertion,39849850,0.000002579,9750000,352,28,0
9800000,random_avl_insertion,95361867,0.000002763,9800000,357,28,2
9850000,random_avl_insertion,90023801,0.000002710,9850000,324,28,0
9900000,random_avl_insertion,54486464,0.000002806,9900000,324,28,0
9950000,random_avl_insertion,40841790,0.000002990,9950000,371,28,2
10000000,random_avl_insertion,3349251,0.000002580,10000000,324,28,0
10050000,random_avl_insertion,80314555,0.000002529,10050000,324,28,0
10100000,random_avl_insertion,32129082,0.000002578,10100000,338,28,0
10150000,random_avl_insertion,52643765,0.000002506,10150000,324,28,0
10200000,random_avl_insertion,53750021,0.000002516,10200000,338,28,0
10250000,random_avl_insertion,94113618,0.000002490,10250000,350,28,1
10300000,random_avl_insertion,7130624,0.000002523,10300000,338,28,0
10350000,random_avl_insertion,46145302,0.000002545,10350000,364,28,1
10400000,random_avl_insertion,4632552,0.000002538,10400000,338,28,0
10450000,random_avl_insertion,18674944,0.000002561,10450000,296,28,0
10500000,random_avl_insertion,79946852,0.000002637,10500000,324,28,0
10550000,random_avl_insertion,37907861,0.000002584,10550000,338,28,0
10600000,random_avl_insertion,95054205,0.000002621,10600000,336,28,1
10650000,random_avl_insertion,84007073,0.000002577,10650000,324,28,0
10700000,random_avl_insertion,23826575,0.000002657,10700000,336,28,1
10750000,random_avl_insertion,38664606,0.000002738,10750000,336,28,1
10800000,random_avl_insertion,50511121,0.000002732,10800000,324,28,0
10850000,random_avl_insertion,96088249,0.000002670,10850000,310,28,0
10900000,random_avl_insertion,21972992,0.000002686,10900000,324,28,0
10950000,random_avl_insertion,45088152,0.000002844,10950000,357,28,2
11000000,random_avl_insertion,43350186,0.000002721,11000000,324,28,0
11050000,random_avl_insertion,93749224,0.000002718,11050000,310,28,0
11100000,random_avl_insertion,35292060,0.000002833,11100000,357,28,2
11150000,random_avl_insertion,35709731,0.000002649,11150000,357,28,2
11200000,random_avl_insertion,90244915,0.000002725,11200000,371,28,2
11250000,random_avl_insertion,87538783,0.000002681,11250000,343,28,2
11300000,random_avl_insertion,59467725,0.000002691,11300000,371,28,2
11350000,random_avl_insertion,24017897,0.000002840,11350000,324,28,0
11400000,random_avl_insertion,32008002,0.000002702,11400000,343,28,2
11450000,random_avl_insertion,68420763,0.000002712,11450000,338,28,0
11500000,random_avl_insertion,70062012,0.000002794,11500000,338,28,0
11550000,random_avl_insertion,42967401,0.000002767,11550000,364,28,1
11600000,random_avl_insertion,61941000,0.000002734,11600000,350,28,1
11650000,random_avl_insertion,6385744,0.000002698,11650000,385,28,2
11700000,random_avl_insertion,49555212,0.000002756,11700000,338,28,0
11750000,random_avl_insertion,43865774,0.000002741,11750000,338,28,0
11800000,random_avl_insertion,15478863,0.000002800,11800000,352,28,0
11850000,random_avl_insertion,73638509,0.000002801,11850000,357,28,2
11900000,random_avl_insertion,6106303,0.000002969,11900000,352,28,0
11950000,random_avl_insertion,75965031,0.000002857,11950000,378,28,1
12000000,random_avl_insertion,91402805,0.000002609,12000000,338,28,0
12050000,random_avl_insertion,62252219,0.000002854,12050000,338,28,0
12100000,random_avl_insertion,94578690,0.000002739,12100000,343,28,2
12150000,random_avl_insertion,89716152,0.000002759,12150000,350,28,1
12200000,random_avl_insertion,11160309,0.000002774,12200000,352,28,0
12250000,random_avl_insertion,94469362,0.000002750,12250000,350,28,1
12300000,random_avl_insertion,13144958,0.000002754,12300000,357,28,2
12350000,random_avl_insertion,76583560,0.000002723,12350000,324,28,0
12400000,random_avl_insertion,60101139,0.000002748,12400000,364,28,1
12450000,random_avl_insertion,88032581,0.000002818,12450000,338,28,0
12500000,random_avl_insertion,62134588,0.000002791,12500000,350,28,1
12550000,random_avl_insertion,8872626,0.000002858,12550000,366,28,0
12600000,random_avl_insertion,4909531,0.000002705,12600000,338,28,0
12650000,random_avl_insertion,19797574,0.000002750,12650000,350,28,1
12700000,random_avl_insertion,17628402,0.000002775,12700000,357,28,2
12750000,random_avl_insertion,41067166,0.000002727,12750000,392,28,1
12800000,random_avl_insertion,27187126,0.000003044,12800000,338,28,0
12850000,random_avl_insertion,24615061,0.000002872,12850000,371,28,2
12900000,random_avl_insertion,68450965,0.000002844,12900000,364,28,1
12950000,random_avl_insertion,59264693,0.000002986,12950000,350,28,1
13000000,random_avl_insertion,4012000,0.000002877,13000000,350,28,1
13050000,random_avl_insertion,77912250,0.000002808,13050000,324,28,0
13100000,random_avl_insertion,61491650,0.000002785,13100000,357,28,2
13150000,random_avl_insertion,18724651,0.000002750,13150000,364,28,1
13200000,random_avl_insertion,88184445,0.000002842,13200000,371,28,2
13250000,random_avl_insertion,19574485,0.000002856,13250000,324,28,0
13300000,random_avl_insertion,88731614,0.000002844,13300000,378,28,1
13350000,random_avl_insertion,79035946,0.000002809,13350000,338,28,0
13400000,random_avl_insertion,77983743,0.000002825,13400000,324,28,0
13450000,random_avl_insertion,21888915,0.000002807,13450000,324,28,0
13500000,random_avl_insertion,29188619,0.000002952,13500000,338,28,0
13550000,random_avl_insertion,1835254,0.000002869,13550000,364,28,1
13600000,random_avl_insertion,51176065,0.000002801,13600000,324,28,0
13650000,random_avl_insertion,99580578,0.000003249,13650000,310,28,0
13700000,random_avl_insertion,13383092,0.000003062,13700000,378,28,1
13750000,random_avl_insertion,51186674,0.000002824,13750000,364,28,1
13800000,random_avl_insertion,44825810,0.000003302,13800000,324,28,0
13850000,random_avl_insertion,96549572,0.000002794,13850000,364,28,1
13900000,random_avl_insertion,3549962,0.000002928,13900000,385,28,2
13950000,random_avl_insertion,95635823,0.000002913,13950000,350,28,1
14000000,random_avl_insertion,26251027,0.000002871,14000000,343,28,2
14050000,random_avl_insertion,42328044,0.000002835,14050000,324,28,0
14100000,random_avl_insertion,85315881,0.000002897,14100000,364,28,1
14150000,random_avl_insertion,36778213,0.000002852,14150000,357,28,2
14200000,random_avl_insertion,23916529,0.000002953,14200000,364,28,1
14250000,random_avl_insertion,34138905,0.000002916,14250000,336,28,1
14300000,random_avl_insertion,70946446,0.000002890,14300000,338,28,0
14350000,random_avl_insertion,96491396,0.000002955,14350000,336,28,1
14400000,random_avl_insertion,25920864,0.000002931,14400000,338,28,0
14450000,random_avl_insertion,31670282,0.000002867,14450000,338,28,0
14500000,random_avl_insertion,68319105,0.000002935,14500000,350,28,1
14550000,random_avl_insertion,28826502,0.000002860,14550000,352,28,0
14600000,random_avl_insertion,19822368,0.000002934,14600000,324,28,0
